"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",472446508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",114292745.875,0,16708481.1503906,107236.093521118,0,136218.519500732,76479329.1328125,95642.7313537598,11207564.5820312,7703573.07324219,1159314.18884277,695582.633911133
"building_hard_mr",76990576.1796875,0,5540510.18847656,55338.7178955078,0,102930.080612183,64940011,32096.5176429749,3818372.20117188,2059705.30029297,353061.152832031,88541.8516998291
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",37409777.7460938,0,6017150.31738281,149970.045608521,0,4000217.96337891,16922086.4277344,376454.631652832,544787.343933105,195878.800170898,2420935.09936523,6782290.18945312
"building_wood_mr",7840843.13964844,0,1260726.21606445,31532.1364135742,0,838418.392028809,3546811.32324219,78830.5176086426,114304.047286987,40541.393901825,507893.957397461,1421766.29614258
"building",236534402.90625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",1466201.5,0,1037067.5625,0,429132.4921875,0,0,0,0,0,0,0
"other_parking",2868180.47705078,0,2545249.86328125,0,322931.941162109,0,0,0,0,0,0,0
"other_remaining_impervious",172198923.78125,0,152811663.546875,0,19388177.3652344,0,0,0,0,0,0,0
"other",176533020.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1104468.56365967,0,0,0,0,0,1042626.92617798,0,61842.2583045959,0,0,0
"rail_other",749.496063232422,0,0,0,0,0,0,0,265.730356216431,0,0,483.765647888184
"rail_railway",1336024.32278442,0,1192158.93411255,0,0,0,9889.39898514748,0,62161.6098899841,0,0,25076.8996753693
"rail_shinkansen",625211.6875,0,588367.217285156,0,0,0,9838.29544067383,0,27007.1213378906,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",5633175.5625,0,0,0,0,0,5575530.90625,0,57636.0471191406,0,0,0
"rail",8699680.46951294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",70312.00390625,0,49825.87109375,0,0,0,6785.62573242188,0,13700.5009765625,0,0,0
"street_bridge_other",454730.757324219,0,322239.927246094,0,0,0,43884.8463439941,0,88605.6283874512,0,0,0
"street_gravel",43021.5379638672,0,43021.5379638672,0,0,0,0,0,0,0,0,0
"street_living_street",2334480.56640625,0,2028687.484375,0,305795.845214844,0,0,0,0,0,0,0
"street_motorway",7816585.078125,0,6959511.06933594,0,857110.085327148,0,0,0,0,0,0,0
"street_motorway_elevated",775.476104736328,0,0,0,775.476104736328,0,0,0,0,0,0,0
"street_other_elevated",5015.41498947144,0,0,0,5015.41498947144,0,0,0,0,0,0,0
"street_primary",7263201.0625,0,6351104.03125,0,912023.888671875,0,0,0,0,0,0,0
"street_secondary",5596261.9765625,0,4700592.2421875,0,895668.97265625,0,0,0,0,0,0,0
"street_tertiary",26221574.546875,0,23269138.25,0,2952309.37890625,0,0,0,0,0,0,0
"street_tunnel",872138.310546875,18139.3558197021,641160.054443359,0,0,0,181232.4375,0,31606.9388275146,0,0,0
"street",50677728.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
