"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1075798210.51367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",298384225.800781,0,43620599.9379883,279959.552333832,0,355624.309961319,199664661.086914,249693.544903755,29259579.2781982,20111669.9267578,3026585.05463409,1815957.26083374
"building_hard_mr",173009952.393555,0,12450414.95401,124355.167697668,0,231300.793951035,145930699.583496,72125.8055725098,8580520.13568115,4628495.44643402,793387.007417679,198968.500640154
"building_high",130843.0078125,0,7418.04541015625,88.3282051086426,0,178.179290771484,115055.09765625,44.1641025543213,5183.95141601562,2406.18176269531,450.778427124023,18.2747993469238
"building_sky",378910.81640625,0,23354.7858886719,258.623067855835,0,511.623878479004,328794.1796875,140.5560131073,16237.029296875,7994.82586669922,1444.9156036377,174.289447784424
"building_wood_lr",99114744.0922604,0,15942076.508472,397334.779390842,0,10598304.7432237,44834034.0871034,997392.426736221,1443383.7674839,518968.612467572,6414099.47837043,17969288.4497323
"building_wood_mr",12625398.484375,0,2030037.28125,50773.4833984375,0,1350032.08203125,5711126.78125,126934.166503906,184054.44140625,65280.3862304688,817817.80859375,2289347.80078125
"building",583643299.029297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",1971485.671875,0,1394465.84375,0,577020.2734375,0,0,0,0,0,0,0
"other_parking",6807409.7421875,0,6040977.75390625,0,766453.407226562,0,0,0,0,0,0,0
"other_remaining_impervious",447845705.467773,0,397422522.928711,0,50423390.7874756,0,0,0,0,0,0,0
"other",456625403.467773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1941835.3125,0,0,0,0,0,1833101.38769531,0,108729.766662598,0,0,0
"rail_other",5456.45315551758,0,0,0,0,0,0,0,1934.55582427979,0,0,3521.9157409668
"rail_railway",1737601.38671875,0,1550495.09765625,0,0,0,12861.66796875,0,80848.5163574219,0,0,32614.6522216797
"rail_shinkansen",1018385.25,0,958363.8125,0,0,0,16025.0249023438,0,43990.6142578125,0,0,0
"rail_subway",939709.75,0,747875.125,0,0,0,120004.3671875,0,71830.40625,0,0,0
"rail_subway_elevated",23933.62109375,0,20148.626953125,0,0,0,3233.13745117188,0,551.852905273438,0,0,0
"rail_subway_surface",61899.29296875,0,52110.1953125,0,0,0,8361.8310546875,0,1427.25109863281,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",4581080.625,0,0,0,0,0,4534200.625,0,46871.27734375,0,0,0
"rail",10309916.5859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",523512.65625,0,370982.7265625,0,0,0,50523.0107421875,0,102008.2265625,0,0,0
"street_bridge_other",523967.255371094,0,371303.129394531,0,0,0,50566.6579589844,0,102096.425537109,0,0,0
"street_gravel",1445.50476074219,0,1445.50476074219,0,0,0,0,0,0,0,0,0
"street_living_street",99754.9765625,0,86687.8615722656,0,13067.1256713867,0,0,0,0,0,0,0
"street_motorway",7051756,0,6278436.9296875,0,773233.491210938,0,0,0,0,0,0,0
"street_motorway_elevated",5778.85388183594,0,0,0,5778.85388183594,0,0,0,0,0,0,0
"street_other_elevated",5779.04641342163,0,0,0,5779.04641342163,0,0,0,0,0,0,0
"street_primary",3883611.203125,0,3395976.703125,0,487674.044433594,0,0,0,0,0,0,0
"street_secondary",1992209.921875,0,1673365.17578125,0,318848.655273438,0,0,0,0,0,0,0
"street_tertiary",10532266.8125,0,9346403.03125,0,1185836.59375,0,0,0,0,0,0,0
"street_tunnel",600106.396484375,12481.4414367676,441173.081054688,0,0,0,124703.4375,0,21748.2975463867,0,0,0
"street",25219748.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
