"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",482334697.330078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",147656627.82373,0,21585960.5750732,138539.459925175,0,175982.847640514,98804779.3310547,123562.068514347,14479243.7449341,9952380.82745361,1497718.97726822,898635.008216858
"building_hard_mr",146756032.906494,0,10561069.3877029,105483.981926858,0,196200.232379675,123785471.894653,61180.7552790642,7278399.0605278,3926117.12345886,672987.911585808,168774.766785324
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",55899976.1634216,0,8991194.84654617,224094.370122254,0,5977359.79758835,25285990.6185303,562521.682032108,814054.871152163,292694.81019479,3617514.59034538,10134518.5925388
"building_wood_mr",17813882.2657986,0,2864290.39301395,71639.2903435007,0,1904836.83288884,8058144.82182407,179098.479764968,259692.596440494,92107.684264183,1153903.40735185,3230164.58314991
"building",368126039.409668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",557912.125,0,394621.0078125,0,163291.443359375,0,0,0,0,0,0,0
"other_parking",1810312.265625,0,1573172.671875,0,237136.59765625,0,0,0,0,0,0,0
"other_remaining_impervious",83739939.9216309,0,72770602.2176514,0,10969276.8270569,0,0,0,0,0,0,0
"other",86108227.9216309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1393087.453125,0,0,0,0,0,1315084.90625,0,78002.7490234375,0,0,0
"rail_railway",1510474.578125,0,1347817.09375,0,0,0,11180.7760009766,0,70278.935546875,0,0,28351.2553710938
"rail_shinkansen",353328.8671875,0,332506.8515625,0,0,0,5559.94226074219,0,15262.5383300781,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",1152.29455566406,0,0,0,0,0,0,0,408.541046142578,0,0,743.751708984375
"rail_tunnel",3615167.625,0,0,0,0,0,3578197.125,0,36988.7880859375,0,0,0
"rail",6873203.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",259896.036132812,0,184172.622070312,0,0,0,25081.8641357422,0,50641.4858398438,0,0,0
"street_bridge_other",224087.583984375,0,158797.40234375,0,0,0,21626.12109375,0,43664.1469726562,0,0,0
"street_gravel",25542.0435791016,0,25542.0435791016,0,0,0,0,0,0,0,0,0
"street_living_street",2216427.90625,0,1926089.171875,0,290335.927734375,0,0,0,0,0,0,0
"street_motorway",2747699.5,0,2446393.53125,0,301287.7265625,0,0,0,0,0,0,0
"street_motorway_elevated",2874.32064819336,0,0,0,2874.32064819336,0,0,0,0,0,0,0
"street_other_elevated",2471.5565032959,0,0,0,2471.5565032959,0,0,0,0,0,0,0
"street_primary",2794737.71875,0,2443800,0,350929.7109375,0,0,0,0,0,0,0
"street_secondary",5235318.125,0,4397437.125,0,837898.5859375,0,0,0,0,0,0,0
"street_tertiary",5928403.0625,0,5260941.4375,0,667485.0390625,0,0,0,0,0,0,0
"street_tunnel",1789181.8125,37212.6840820312,1315333.859375,0,0,0,371796.1875,0,64841.3442382812,0,0,0
"street",21226691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
