"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",407682493.539062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",142172308.996094,0,20784182.7247314,133394.046797752,0,169446.791619301,95134941.6269531,118972.775436878,13941467.1681519,9582745.83502197,1442095.37171173,865257.855396271
"building_hard_mr",68289870.7363281,0,4914381.60687256,49084.9952540398,0,91298.0921874046,57601121.6342773,28469.25060606,3386856.0171051,1826945.13278198,313161.596261978,78536.0410242081
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",50554.3359375,0,3115.99853515625,34.5055236816406,0,68.2609100341797,43867.76953125,18.7530002593994,2166.3466796875,1066.67065429688,192.780838012695,23.2537212371826
"building_wood_lr",24902938.6159239,0,4005498.05257058,99831.988787625,0,2662857.99813759,11264690.0541792,250598.142848223,362654.210162759,130392.542629749,1611568.56274086,4514839.70771122
"building_wood_mr",4552459.92041016,0,731989.213562012,18307.9175682068,0,486794.568481445,2059313.37573242,45769.7817687988,66366.2220306396,23538.7413082123,294888.554626465,825490.698608398
"building",239968876.011719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",2275557.984375,0,1609540.05078125,0,666017.232421875,0,0,0,0,0,0,0
"other_parking",1442764.4296875,0,1253774.34375,0,188990.921386719,0,0,0,0,0,0,0
"other_remaining_impervious",65256871.9951172,0,56708512.237793,0,8548122.49334717,0,0,0,0,0,0,0
"other",68975167.1201172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1151129.43215942,0,0,0,0,0,1086674.94798279,0,64454.8709688187,0,0,0
"rail_railway",1306591.59179688,0,1165892.81835938,0,0,0,9671.7046661377,0,60793.0408935547,0,0,24524.080871582
"rail_shinkansen",588757.3125,0,554063.1875,0,0,0,9264.59619140625,0,25432.2490234375,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",156.222038269043,0,0,0,0,0,0,0,55.3878049850464,0,0,100.834215164185
"rail_tunnel",6032015.96679688,0,0,0,0,0,5970296.32519531,0,61716.7297134399,0,0,0
"rail",9078664.61328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",49562.732421875,0,35122.126953125,0,0,0,4783.17053222656,0,9657.44677734375,0,0,0
"street_bridge_other",1287818.42871094,0,912597.939453125,0,0,0,124284.076660156,0,250935.321166992,0,0,0
"street_gravel",18152466.6152344,0,18152466.6152344,0,0,0,0,0,0,0,0,0
"street_living_street",30744358.4882812,0,26717150.71875,0,4027263.8828125,0,0,0,0,0,0,0
"street_motorway",1509204.0625,0,1343714.4375,0,165489.0859375,0,0,0,0,0,0,0
"street_motorway_elevated",546.648040771484,0,0,0,546.648040771484,0,0,0,0,0,0,0
"street_other_elevated",14203.8943939209,0,0,0,14203.8943939209,0,0,0,0,0,0,0
"street_primary",15649913.46875,0,13685047.609375,0,1965148.75,0,0,0,0,0,0,0
"street_secondary",12288762.28125,0,10322013.84375,0,1966784.1484375,0,0,0,0,0,0,0
"street_tertiary",9282159.49279785,0,8237086.5078125,0,1045088.82875061,0,0,0,0,0,0,0
"street_tunnel",681232.125488281,14168.7350234985,500813.708984375,0,0,0,141561.5625,0,24688.3312988281,0,0,0
"street",89660266.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
