"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",327766749.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",81569108.9921875,0,11924565.3164062,76532.3403015137,0,97216.6670227051,54581847.9023438,68258.564540863,7998647.62011719,5497933.76318359,827376.757629395,496425.688293457
"building_hard_mr",40498174.375,0,2914393.90063477,29108.9502277374,0,54142.7421455383,34159430.4042969,16883.2257738113,2008519.77709961,1083435.69476318,185715.349838257,46574.4578552246
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",33895234.6015625,0,5451846.04785156,135879.869140625,0,3624392.79736328,15332250.6914062,341086.412414551,493604.688232422,177476.125549316,2193492.23632812,6145123.01074219
"building_wood_mr",6381548.17919922,0,1026085.72583008,25663.6580562592,0,682377.121520996,2886699.16772461,64159.0443763733,93030.6979370117,32996.1508903503,413368.047515869,1157156.21838379
"building",162343700.109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",378373.49609375,0,267630.26171875,0,110743.39453125,0,0,0,0,0,0,0
"other_parking",4301323.39453125,0,3817035.890625,0,484290.716796875,0,0,0,0,0,0,0
"other_remaining_impervious",139107807.75,0,123445518.6875,0,15662292.5742188,0,0,0,0,0,0,0
"other",143787702.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1469235.74493408,0,0,0,0,0,1386959.73577881,0,82265.9081707001,0,0,0
"rail_other",257.927938461304,0,0,0,0,0,0,0,91.4471926689148,0,0,166.48083114624
"rail_railway",500598.143554688,0,446675.604492188,0,0,0,3705.51819229126,0,23291.6290740967,0,0,9395.86895751953
"rail_shinkansen",155261.53125,0,146111.03125,0,0,0,2443.18212890625,0,6706.7080078125,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",1198156.04492188,0,0,0,0,0,1185895.83789062,0,12259.0068054199,0,0,0
"rail",3323494.07421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",4397.6962890625,0,3116.3818359375,0,0,0,424.409912109375,0,856.904052734375,0,0,0
"street_bridge_other",108697.753692627,0,77027.5421142578,0,0,0,10490.1256637573,0,21180.0546798706,0,0,0
"street_gravel",18991.740234375,0,18991.740234375,0,0,0,0,0,0,0,0,0
"street_living_street",386429.974609375,0,335811.337890625,0,50619.361328125,0,0,0,0,0,0,0
"street_motorway",1937233.6171875,0,1724809.6015625,0,212422.764648438,0,0,0,0,0,0,0
"street_motorway_elevated",48.5039939880371,0,0,0,48.5039939880371,0,0,0,0,0,0,0
"street_other_elevated",1198.87046337128,0,0,0,1198.87046337128,0,0,0,0,0,0,0
"street_primary",2909757.22949219,0,2544382.65625,0,365372.53137207,0,0,0,0,0,0,0
"street_secondary",2081280.65673828,0,1748178.59716797,0,333102.003601074,0,0,0,0,0,0,0
"street_tertiary",10704747.3769531,0,9499481.94238281,0,1205261.87475586,0,0,0,0,0,0,0
"street_tunnel",159176.515625,3310.66479492188,117020.01953125,0,0,0,33077.25,0,5768.67407226562,0,0,0
"street",18311962.3027344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
